"n","dates","x","y","mag","event_id","Cluster_Number","cluster_ref","ms_ref","sig.mag","optional"
0,-315446400,15.3,39.3,6.34,0,0,0,0,0.23,TRUE
1,-315187200,12.7,46.4833,4.69,1,1,1,1,0.14,TRUE
3,-314755200,13.9833,41.3,5,3,2,1,1,0.34,TRUE
5,-312508800,12.6,42.9833,4.3,5,0,0,0,0.34,TRUE
6,-311558400,14.3167,45.5833,4.8,6,0,0,0,0.34,TRUE
7,-311385600,10.45,45.7333,4.64,7,0,0,0,0.23,TRUE
8,-310953600,12.9333,43.1667,4,8,0,0,0,0.34,TRUE
9,-309484800,13.2333,42.65,4.36,9,3,1,1,0.22,TRUE
10,-309312000,13.25,42.0333,4.8,10,0,0,0,0.34,TRUE
12,-308534400,8.0667,46.3167,5.28,12,0,0,0,0.14,TRUE
13,-306550800,12.2833,43.75,4.3,13,0,0,0,0.34,TRUE
14,-305859600,12.5333,42.6833,4.3,14,0,0,0,0.34,TRUE
15,-305254800,11.75,44.1667,4.3,15,0,0,0,0.34,TRUE
17,-298947600,12.55,42.7167,4.71,17,4,1,1,0.23,TRUE
18,-298774800,13.0167,46.4167,4.58,18,0,0,0,0.23,TRUE
21,-297824400,15.1,37.7,4.3,21,0,0,0,0.34,TRUE
23,-289526400,11.3,44,4.81,23,0,0,0,0.16,TRUE
24,-286416000,12.75,42.8333,4.22,24,0,0,0,0.22,TRUE
25,-286070400,12.5,43.75,4.3,25,0,0,0,0.34,TRUE
26,-281577600,14.1,41.6,4.34,26,0,0,0,0.23,TRUE
27,-277689600,10.9,46.8,4.1,27,0,0,0,0.34,TRUE
28,-276998400,12.6,43.5833,4.07,28,0,0,0,0.21,TRUE
29,-276912000,15.6,38.15,5.14,29,0,0,0,0.23,TRUE
30,-275792400,13.3833,41.9667,4.8,30,5,1,1,0.34,TRUE
34,-274842000,13.95,40.6833,4.74,34,0,0,0,0.23,TRUE
35,-273027600,11.9333,44.1,4.39,35,0,0,0,0.17,TRUE
36,-271213200,11.5,44.25,4.16,36,0,0,0,0.21,TRUE
37,-265510800,10.2,44.2,4.3,37,0,0,0,0.34,TRUE
38,-264992400,10.4,46.6,4.9,38,0,0,0,0.34,TRUE
39,-264646800,10.25,44.8,4.24,39,0,0,0,0.23,TRUE
40,-264128400,16.1667,40.6333,4.74,40,0,0,0,0.23,TRUE
41,-257817600,13.0833,42.4167,4.64,41,6,1,1,0.23,TRUE
43,-255830400,9.5667,45.7167,4.3,43,0,0,0,0.34,TRUE
44,-250905600,15.7,41.6667,4.44,44,0,0,0,0.23,TRUE
45,-250560000,13.3833,44.25,5.14,45,0,0,0,0.23,TRUE
46,-245289600,14.4833,39.1167,5.74,46,0,0,0,0.23,TRUE
47,-243306000,17.3667,42.45,5.64,47,0,0,0,0.23,TRUE
48,-242614800,7.4,46.1667,4.14,48,0,0,0,0.23,TRUE
49,-241923600,7.85,46.25,4.14,49,0,0,0,0.23,TRUE
50,-241232400,11.1667,44.2,4.71,50,0,0,0,0.14,TRUE
51,-237344400,13.05,42.8333,4.14,51,0,0,0,0.23,TRUE
54,-232419600,14.9333,41.2333,6.21,54,7,1,1,0.15,TRUE
59,-231642000,12.2,43.8833,4.75,59,0,0,0,0.18,TRUE
60,-231642000,13,42.7167,4.74,60,8,1,1,0.23,TRUE
61,-231642000,15.6667,41.3667,4.04,61,0,0,0,0.23,TRUE
64,-230518800,13.7167,41.6667,4,64,0,0,0,0.34,TRUE
65,-230173200,11.3,43.6,4.51,65,0,0,0,0.18,TRUE
67,-228531600,13.2,43.1,4,67,0,0,0,0.34,TRUE
70,-222480000,13.7167,41.6667,4.5,70,9,1,1,0.34,TRUE
71,-218851200,13.0833,42.9167,4.14,71,0,0,0,0.23,TRUE
73,-218160000,12.9,42.4,5.3,73,10,1,1,0.34,TRUE
74,-218073600,12.45,43.4333,4.3,74,11,1,1,0.34,TRUE
77,-217209600,15.5833,40.5,5.25,77,12,1,1,0.16,TRUE
79,-209955600,12.1667,45.95,4.6,79,0,0,0,0.34,TRUE
80,-208918800,12.5,43.4,4.3,80,0,0,0,0.34,TRUE
85,-206845200,14.8,38.7,4.68,85,13,1,1,0.18,TRUE
86,-203734800,9.6167,44.5333,4.1,86,0,0,0,0.34,TRUE
88,-203734800,8.2,43.3,5.95,88,14,1,1,0.15,TRUE
97,-202179600,13.25,43.1667,4.3,97,0,0,0,0.34,TRUE
98,-201920400,12.1,44.3667,5.4,98,0,0,0,0.14,TRUE
100,-201229200,12.5167,42.7833,4.3,100,15,1,1,0.34,TRUE
101,-199846800,12.2667,42.4,4.04,101,0,0,0,0.23,TRUE
103,-197427600,15.8,37.5,5.05,103,0,0,0,0.24,TRUE
104,-193708800,16.3167,39.5,4,104,0,0,0,0.34,TRUE
105,-192240000,13.4,42.3,4.34,105,0,0,0,0.23,TRUE
106,-187920000,14.5,45.5,4.7,106,16,1,1,0.34,TRUE
107,-186019200,14.3,41.05,4.24,107,0,0,0,0.23,TRUE
110,-180406800,14.7167,38.6667,4.16,110,0,0,0,0.22,TRUE
111,-178851600,15.3,37.0667,4.3,111,0,0,0,0.34,TRUE
112,-177210000,12.9,43.3333,4.3,112,0,0,0,0.34,TRUE
113,-176605200,9.2333,46.7167,4.34,113,0,0,0,0.23,TRUE
114,-176000400,15.6667,40.5,4.57,114,0,0,0,0.35,TRUE
115,-174358800,14.5,43.5,4.68,115,0,0,0,0.48,TRUE
116,-173149200,15.7,44.4,4.26,116,0,0,0,0.27,TRUE
117,-170902800,12.4,42.8,4.14,117,0,0,0,0.23,TRUE
119,-170902800,13,42.7,4.46,119,17,1,1,0.24,TRUE
122,-169520400,16.7,43.9,4.46,122,0,0,0,0.29,TRUE
123,-168051600,15.4,39.4,4.33,123,0,0,0,0.27,TRUE
124,-167965200,11.3,44,4.92,124,19,0,1,0.13,TRUE
125,-167965200,11.8,44.6,4.36,125,0,0,0,0.25,TRUE
127,-165459600,15.4333,39.0833,4.26,127,0,0,0,0.25,TRUE
129,-162777600,11.6,42.6,4.16,129,0,0,0,0.42,TRUE
131,-157507200,13.1,46.3833,4.1,131,0,0,0,0.34,TRUE
132,-156988800,16.9,43.26,4.46,132,0,0,0,0.29,TRUE
133,-151718400,17.7,38.9,4.07,133,0,0,0,0.23,TRUE
